,Peers,Miners,Contracts,Transactions,Time,Difficulty
0,16,1,100,100,0.5978083610534668,1
1,16,1,100,100,1.040173053741455,1
2,16,1,100,100,1.040173053741455,1
3,16,1,100,100,1.040173053741455,1
4,16,1,100,100,1.1191740036010742,1
5,16,1,100,100,1.1201741695404053,1
6,16,1,100,100,1.1352124214172363,1
7,16,1,100,100,1.1352124214172363,1
8,16,1,100,100,1.1352124214172363,1
9,16,1,100,100,1.2321281433105469,1
10,16,1,100,100,1.2321281433105469,1
11,16,1,100,100,1.2331278324127197,1
12,16,1,100,100,1.2331278324127197,1
13,16,1,100,100,1.234128475189209,1
14,16,1,100,100,1.234128475189209,1
0,16,2,100,100,0.4637134075164795,1
1,16,2,100,100,0.472459077835083,1
2,16,2,100,100,1.5076251029968262,1
3,16,2,100,100,1.5076251029968262,1
4,16,2,100,100,1.5076251029968262,1
5,16,2,100,100,1.5608739852905273,1
6,16,2,100,100,1.5608739852905273,1
7,16,2,100,100,1.5663762092590332,1
8,16,2,100,100,1.6725025177001953,1
9,16,2,100,100,1.6745047569274902,1
10,16,2,100,100,1.9608416557312012,1
11,16,2,100,100,1.966829776763916,1
12,16,2,100,100,2.1073617935180664,1
13,16,2,100,100,2.1073617935180664,1
14,16,2,100,100,2.1112735271453857,1
0,16,3,100,100,0.3537275791168213,1
1,16,3,100,100,0.4040851593017578,1
2,16,3,100,100,0.47133684158325195,1
3,16,3,100,100,1.5011308193206787,1
4,16,3,100,100,1.5011308193206787,1
5,16,3,100,100,1.5028979778289795,1
6,16,3,100,100,1.552556037902832,1
7,16,3,100,100,1.663177728652954,1
8,16,3,100,100,2.204430341720581,1
9,16,3,100,100,2.2026631832122803,1
10,16,3,100,100,2.204430341720581,1
11,16,3,100,100,2.3571951389312744,1
12,16,3,100,100,2.8716609477996826,1
13,16,3,100,100,3.0146312713623047,1
14,16,3,100,100,5.024203777313232,1
0,16,4,100,100,0.36780285835266113,1
1,16,4,100,100,0.36780285835266113,1
2,16,4,100,100,0.38544440269470215,1
3,16,4,100,100,0.48592495918273926,1
4,16,4,100,100,1.0667855739593506,1
5,16,4,100,100,1.0667855739593506,1
6,16,4,100,100,1.0667855739593506,1
7,16,4,100,100,1.1787898540496826,1
8,16,4,100,100,1.9841551780700684,1
9,16,4,100,100,1.9841551780700684,1
10,16,4,100,100,2.900434732437134,1
11,16,4,100,100,2.904618501663208,1
12,16,4,100,100,3.0335466861724854,1
13,16,4,100,100,3.0335466861724854,1
14,16,4,100,100,3.8225364685058594,1
0,16,5,100,100,0.3513524532318115,1
1,16,5,100,100,0.35402369499206543,1
2,16,5,100,100,0.36888742446899414,1
