,Peers,Miners,Contracts,Transactions,Time,Difficulty
0,16,1,5000,100,0.8471508026123047,1
1,16,1,5000,100,1.2009270191192627,1
2,16,1,5000,100,1.2443115711212158,1
3,16,1,5000,100,1.2453148365020752,1
4,16,1,5000,100,1.2624192237854004,1
5,16,1,5000,100,1.2654166221618652,1
6,16,1,5000,100,1.283311367034912,1
7,16,1,5000,100,1.3203110694885254,1
8,16,1,5000,100,1.3321359157562256,1
9,16,1,5000,100,1.3423120975494385,1
10,16,1,5000,100,1.3603134155273438,1
11,16,1,5000,100,1.4134149551391602,1
12,16,1,5000,100,1.4174158573150635,1
13,16,1,5000,100,1.4403128623962402,1
14,16,1,5000,100,1.4434165954589844,1
0,16,1,10000,100,1.36161208152771,1
1,16,1,10000,100,1.5399971008300781,1
2,16,1,10000,100,1.5802111625671387,1
3,16,1,10000,100,1.5962145328521729,1
4,16,1,10000,100,1.6142127513885498,1
5,16,1,10000,100,1.6222131252288818,1
6,16,1,10000,100,1.636213779449463,1
7,16,1,10000,100,1.6712138652801514,1
8,16,1,10000,100,1.6802151203155518,1
9,16,1,10000,100,1.7092127799987793,1
10,16,1,10000,100,1.7142114639282227,1
11,16,1,10000,100,1.7172114849090576,1
12,16,1,10000,100,1.722212791442871,1
13,16,1,10000,100,1.7242121696472168,1
14,16,1,10000,100,1.7282156944274902,1
0,16,1,15000,100,1.8602690696716309,1
1,16,1,15000,100,2.010228395462036,1
2,16,1,15000,100,2.0238773822784424,1
3,16,1,15000,100,2.031163215637207,1
4,16,1,15000,100,2.0391621589660645,1
5,16,1,15000,100,2.0401628017425537,1
6,16,1,15000,100,2.045163154602051,1
7,16,1,15000,100,2.13016414642334,1
8,16,1,15000,100,2.154162645339966,1
9,16,1,15000,100,2.1601619720458984,1
10,16,1,15000,100,2.1761651039123535,1
11,16,1,15000,100,2.17916202545166,1
12,16,1,15000,100,2.18516206741333,1
13,16,1,15000,100,2.19216251373291,1
14,16,1,15000,100,2.202162504196167,1
0,16,1,20000,100,2.4015839099884033,1
1,16,1,20000,100,2.6544554233551025,1
2,16,1,20000,100,2.6844322681427,1
3,16,1,20000,100,2.6923024654388428,1
4,16,1,20000,100,2.7133028507232666,1
5,16,1,20000,100,2.7183005809783936,1
6,16,1,20000,100,2.7323031425476074,1
7,16,1,20000,100,2.7454330921173096,1
8,16,1,20000,100,2.75730037689209,1
9,16,1,20000,100,2.7654333114624023,1
10,16,1,20000,100,2.7664334774017334,1
11,16,1,20000,100,2.7883009910583496,1
12,16,1,20000,100,2.7874319553375244,1
13,16,1,20000,100,2.79030179977417,1
14,16,1,20000,100,2.7913031578063965,1
0,16,1,25000,100,2.8582658767700195,1
1,16,1,25000,100,3.172697067260742,1
2,16,1,25000,100,3.2038042545318604,1
3,16,1,25000,100,3.236931562423706,1
4,16,1,25000,100,3.2429301738739014,1
5,16,1,25000,100,3.2589292526245117,1
6,16,1,25000,100,3.259929656982422,1
7,16,1,25000,100,3.2759294509887695,1
8,16,1,25000,100,3.2759294509887695,1
9,16,1,25000,100,3.2969300746917725,1
10,16,1,25000,100,3.2969300746917725,1
11,16,1,25000,100,3.3209304809570312,1
12,16,1,25000,100,3.325929880142212,1
13,16,1,25000,100,3.325929880142212,1
14,16,1,25000,100,3.338930130004883,1
0,16,1,30000,100,3.41749906539917,1
1,16,1,30000,100,3.8107142448425293,1
2,16,1,30000,100,3.8402597904205322,1
3,16,1,30000,100,3.8545901775360107,1
4,16,1,30000,100,3.886258125305176,1
5,16,1,30000,100,3.887258529663086,1
6,16,1,30000,100,3.886591672897339,1
7,16,1,30000,100,3.8992552757263184,1
8,16,1,30000,100,3.9125888347625732,1
9,16,1,30000,100,3.9142556190490723,1
10,16,1,30000,100,3.9125888347625732,1
11,16,1,30000,100,3.9172585010528564,1
12,16,1,30000,100,3.9612555503845215,1
13,16,1,30000,100,4.0065882205963135,1
14,16,1,30000,100,4.008589267730713,1
